,Question,Right,Wrong
1198,What is a parade during a festival?,A parade is when people walk down the street playing music and wearing costumes.,A parade is when people sleep on the street.
1199,What do people do during a carnival?,"People dance, play games, and enjoy rides during a carnival.",People sleep and eat during a carnival.
1200,Name a festival celebrated in your country.,Independence Day is a festival in our country.,Pizza Day is a festival in our country.
1201,What is the most important thing to remember during a festival?,The most important thing is to have fun and enjoy the time with loved ones.,The most important thing is to be mean and not talk to others.
1202,Why do some people wear costumes during festivals?,Some people wear costumes to celebrate in a fun and creative way.,Some people wear costumes to scare others.
1203,What kind of music is played during a festival?,"The music played during festivals can vary, but it is often traditional or upbeat.",The music played during festivals is only for sleeping.
1204,What is a firework show?,A firework show is a big display of colorful fireworks in the sky that people enjoy watching.,A firework show is when people cook food over the fire.
1205,Name a big festival that is celebrated around the world.,Chinese New Year is a big festival that many people around the world celebrate.,National Ice Cream Day is a big festival that many people around the world celebrate.
1206,What is a cultural event?,A cultural event is a celebration or activity that promotes understanding and appreciation of different cultures.,A cultural event is a place where people go to watch movies.
1207,What is the purpose of a cultural event?,The purpose of a cultural event is to learn about and celebrate different cultures.,The purpose of a cultural event is to be bored and tired.
1208,Name a cultural event that you have attended.,The Chinese New Year festival is a cultural event that I have attended.,The Super Bowl is a cultural event that I have attended.
1209,How do people usually dress during cultural events?,People often dress in traditional or festive clothing during cultural events.,People always wear pajamas during cultural events.
1210,What is a cultural food that people enjoy during cultural events?,People often enjoy traditional foods like tacos or sushi during cultural events.,People often enjoy candy and chips during cultural events.
1211,Why is it important to learn about different cultures?,It is important to learn about different cultures to understand and respect others.,It is not important to learn about different cultures.
1212,What is a Halloween party?,A Halloween party is a costume party where people celebrate Halloween.,A Halloween party is a place where people learn about history.
1213,What is a Thanksgiving dinner?,A Thanksgiving dinner is a special meal that people share on Thanksgiving Day.,A Thanksgiving dinner is a race.
1214,Name a festival that is celebrated during the winter season.,Christmas is a festival that is celebrated during the winter season.,Halloween is a festival that is celebrated during the winter season.
1215,What is a Christmas tree?,A Christmas tree is a decorated tree that people put up during Christmas.,A Christmas tree is a type of food.
1216,Why do people give gifts during Christmas?,People give gifts during Christmas to exchange heartfelt sentiments with loved ones.,People give gifts during Christmas to be selfish and mean.
1217,What is a New Year's Eve party?,A New Year's Eve party is a celebration to welcome in the new year.,A New Year's Eve party is a place where people learn about different animals.
1218,What is a Mardi Gras parade?,A Mardi Gras parade is a popular parade held on Shrove Tuesday (Fat Tuesday).,A Mardi Gras parade is a place to learn about different types of vegetables.
1219,What is a Diwali festival?,Diwali is a festival of lights celebrated by Hindus.,Diwali is a type of clothing.
1220,What is a Hanukkah celebration?,Hanukkah is a Jewish celebration that lasts for eight days.,Hanukkah is a type of animal.
1221,What is a St. Patrick's Day parade?,A St. Patrick's Day parade is a parade held on March 17th to celebrate Irish heritage.,A St. Patrick's Day parade is a parade held to celebrate different types of cars.
1222,What is a Cinco de Mayo celebration?,Cinco de Mayo is a celebration of Mexican heritage held on May 5th.,Cinco de Mayo is a celebration of Halloween.
1223,What is a Fourth of July celebration?,Fourth of July is a celebration of American Independence Day.,Fourth of July is a celebration of National Food Day.
1224,What is a Labor Day celebration?,Labor Day is a celebration in honor of workers in America.,Labor Day is a celebration of animals.
1225,What is a carnival parade?,A carnival parade is a parade that takes place during carnival season with music and dancing.,A carnival parade is a parade where people study math.
1226,What is a Maypole dance?,A Maypole dance is a traditional dance performed around a decorated pole on May Day.,A Maypole dance is a place where people learn about different types of sports.
1227,What is a Feast of Ramadan?,Ramadan is a month of fasting and observance for Muslims.,Ramadan is a type of music.
1228,What is a Holi celebration?,Holi is a Hindu color festival celebrate in India.,Holi is a type of food.
1229,What is a Dragon Boat Festival?,Dragon Boat Festival is a Chinese cultural festival held in memory of Qu Yuan.,Dragon Boat festival is a place where people ride on dragon-shaped boats.
1230,What is a Carnival of Venice?,"The Carnival of Venice is a festival held in Venice, Italy with masked balls and parades.",The Carnival of Venice is a place where people study science.
1231,What is a Kwanzaa celebration?,Kwanzaa is a week-long celebration of African heritage and culture.,Kwanzaa is a type of vehicle.
1232,What is a Taste of Chicago event?,Taste of Chicago is a festival with food from Chicago's best restaurants.,Taste of Chicago is a medical procedure.
1233,What is an Oktoberfest celebration?,Oktoberfest is a festival celebrating German culture with food and beer.,Oktoberfest is a type of animal.
1234,What is a Bastille Day parade?,Bastille Day is a French national day celebrated on July 14th with a military parade.,Bastille Day parade is a place to learn about history.
1235,What is a Hot Air Balloon Festival?,A Hot Air Balloon Festival is a festival with hot air balloon rides and displays.,A Hot Air Balloon Festival is a place to learn about different types of shoes.
1236,What is a Winter Festival?,A Winter Festival is a festival held during winter with ice sculptures and activities.,A Winter Festival is a place where people study math.
1237,What is a Lantern Festival?,A Lantern Festival is a Chinese festival celebrated with lanterns and fireworks.,A Lantern Festival is a place where people learn about outer space.
1238,What is a Dia de los Muertos celebration?,Dia de los Muertos is a Mexican celebration remembering loved ones who have passed away.,Dia de los Muertos is a celebration of winter.
1239,What are cars?,Cars are vehicles that can carry people and things.,Cars are animals that can jump high.
1240,Do cars need gasoline to run?,"Yes, most cars need gasoline or fuel to run.","No, cars can run on water."
1241,What is the part of a car that helps it move forward called?,The engine.,The chair.
1242,What is the part of the car that you use to steer it called?,The steering wheel.,The radio.
1243,How many wheels do most cars have?,Four.,Six.
1244,What sound do car horns make?,Honk honk.,Meow.
1245,What color are most traffic lights?,"Red, yellow, and green.",Blue and orange.
1246,What do you call the person who drives a car?,The driver.,The captain.
1247,How do you make a car go faster?,By pressing the gas pedal.,By pressing the brake pedal.
1248,What do you call the small mirrors on the sides of the car?,Side mirrors.,Wing mirrors.
1249,What do you call the windows in the front and back of the car?,Windshield and rear window.,Door windows.
1250,What do you call the part of the car that covers the engine?,The hood.,The roof.
1251,What do you call the part of the car that protects you in case of an accident?,The airbag.,The pillow.
1252,What do you call the part of the car that you use to change gears?,The gear shift.,The volume knob.
1253,What is the part of the car that makes the wheels turn?,The transmission.,The headlight.
1254,What is the part of the car that helps you slow down or stop called?,The brakes.,The propeller.
1255,What do you call the tires that are meant for snowy roads?,Snow tires.,Beach tires.
1256,What do you call the belts that run through the engine?,Serpentine belts.,Scarf belts.
1257,What do you call the part of the car that directs air to the engine?,The air intake.,The cooling system.
1258,How many people can usually fit in a regular car?,Four to five people.,Ten people.
1259,What is the name of the famous car that turns into a robot?,Transformers.,Star Wars.
1260,What is the name of the first car ever made?,The Benz Patent-Motorwagen.,The Ford Mustang.
1261,What do you call the part of the car that makes it run quietly?,The muffler.,The trumpet.
1262,How do you open the car door from the inside?,By pulling the door handle.,By kicking the door.
1263,"What do you call the part of the car that contains all the instruments, like the speedometer and fuel gauge?",The dashboard.,The console.
1264,Why do people wear seatbelts when they ride in cars?,Seatbelts protect them in case of an accident.,They make them feel comfortable.
1265,What do you call the part of the car that connects the engine to the wheels?,The driveshaft.,The shoelace.
1266,What do you call the part of the car that filters the air that goes into the engine?,The air filter.,The water filter.
1267,What do you call the part of the car that keeps the engine cool?,The radiator.,The heater.
1268,What do you call the part of the car that helps you signal where you want to turn?,The turn signal.,The music player.
1269,What do you call the part of the car that collects rainwater and snow?,The windshield wipers.,The laser guns.
1270,What do you call the part of the car that connects the steering wheel to the wheels?,The steering column.,The pizza wheel.
1271,What do you call the part of the car that helps you reverse?,The reverse gear.,The spin gear.
1272,What do you call the part of the car that keeps the engine warm in cold weather?,The block heater.,The ice maker.
1273,What do you call the part of the car that makes a loud noise when you start the engine?,The engine starter.,The party horn.
1274,What do you call the part of the car that tells you how fast you're going?,The speedometer.,The calculator.
1275,What do you call the kind of car that can drive itself?,The autonomous car.,The flying car.
1276,What do you call the part of the car that lets you open and close the windows?,The window switch.,The banana splitter.
1277,What do you call the part of the car that makes a loud noise when you accidentally drive too close to something?,The backup alarm.,The lullaby machine.
1278,What do you call the part of the car that helps you see behind you when you're driving?,The rearview mirror.,The side mirror.
1279,What do you call the part of the car that lets you adjust the seats?,The seat adjuster.,The seat fryer.
1280,What do you call the part of the car that lets you charge your phone?,The USB port.,The banana port.
1281,"What do you call the part of the car that connects to other devices, like your phone or music player?",The Bluetooth.,The toothbrush.
1282,What do you call the part of the car that lets you control the temperature inside?,The climate control.,The weather machine.
1283,What do you call the part of the car that holds your drinks?,The cup holder.,The bottle holder.
1284,What do you call the part of the car that lets you listen to the radio and music?,The stereo.,The toaster.
1285,What do you call the part of the car that helps you know when to stop or slow down?,The brake light.,The party light.
1286,What do you call the part of the car that connects to the gas tank?,The fuel pump.,The soda dispenser.
1287,What do you call the part of the car that lets you know when you need to put gas in?,The fuel gauge.,The dance gauge.
1288,What is photography?,Photography is the art of capturing light and using it to create images.,Photography is the art of painting with colors.
1289,What device is used to capture images in photography?,A camera is used to capture images in photography.,A pencil is used to capture images in photography.
1290,Can you take a photograph using a phone?,"Yes, you can take a photograph using a phone.","No, you cannot take a photograph using a phone."
1291,What is a selfie?,A selfie is a photograph that you take of yourself.,A selfie is a photograph that someone else takes of you.
1292,What is a portrait?,A portrait is a photograph of a person's face.,A portrait is a photograph of a landscape.
1293,Can you take photographs of animals?,"Yes, you can take photographs of animals.","No, you cannot take photographs of animals."
1294,What is the purpose of a camera lens?,The purpose of a camera lens is to focus light onto the camera's sensor or film.,The purpose of a camera lens is to make your photos black and white.
1295,What is the difference between a black and white photo and a color photo?,A black and white photo shows only shades of gray while a color photo shows the true colors of the subject.,A black and white photo shows the true colors of the subject while a color photo shows only shades of gray.
1296,Can you take photographs of buildings?,"Yes, you can take photographs of buildings.","No, you cannot take photographs of buildings."
1297,What is a camera flash?,A camera flash is a burst of bright light used to illuminate a subject in low-light situations.,A camera flash is a sound that a camera makes after taking a photo.
1298,What is a group photo?,A group photo is a photograph of multiple people.,A group photo is a photograph of a single person.
1299,Can you take photographs of nature?,"Yes, you can take photographs of nature.","No, you cannot take photographs of nature."
1300,What is a landscape photo?,"A landscape photo is a photograph of a big, open space like a meadow or a mountain range.",A landscape photo is a photograph of a person.
1301,What is a still life photo?,"A still life photo is a photograph of inanimate objects, like fruit in a bowl or flowers in a vase.",A still life photo is a photograph of a person.
1302,What is a zoom lens?,"A zoom lens is a lens that allows you to change focal length, magnifying the subject without having to move closer or further away.",A zoom lens is a lens that only takes blurry photos.
1303,What is a shutter button?,A shutter button is a button on a camera that you press to take a photo.,A shutter button is a button on a camera that you press to turn it on and off.
1304,What is a candid photo?,"A candid photo is a photograph of someone who is unaware of the camera, usually taken when they are doing something interesting or funny.",A candid photo is a photograph of someone posing for the camera.
1305,What is a macro lens?,A macro lens is a lens that allows you to get very close to the subject and capture fine details.,A macro lens is a lens that only takes blurry photos.
1306,What is a photo album?,A photo album is a book or binder in which you can store and organize photographs.,A photo album is a type of camera.
1307,Can you edit photos after you take them?,"Yes, you can edit photos after you take them.","No, you cannot edit photos after you take them."
1308,What is a shutter speed?,Shutter speed is the amount of time the camera's shutter stays open when taking a photo.,Shutter speed is the size of the camera's lens.
1309,What is a viewfinder?,A viewfinder is a window on a camera that you look through to compose your shot.,A viewfinder is a button that takes the photo.
1310,What is a snapshot?,A snapshot is an informal photograph taken without special preparation or posing.,A snapshot is a formal photograph taken with special preparation and posing.
1311,What is a high angle shot?,A high angle shot is a shot taken from above the subject.,A high angle shot is a shot taken from below the subject.
1312,What is a low angle shot?,A low angle shot is a shot taken from below the subject.,A low angle shot is a shot taken from above the subject.
1313,What is a telephoto lens?,A telephoto lens is a lens that magnifies the subject and makes it appear closer than it really is.,A telephoto lens is a lens that makes the subject appear smaller than it really is.
1314,What is a wide angle lens?,A wide angle lens is a lens that captures a broader view than a normal lens.,A wide angle lens is a lens that only takes blurry photos.
1315,What is a flash drive?,"A flash drive is a small, portable device used to store digital files, like photos.",A flash drive is a device used to take photos.
1316,What is a tripod?,A tripod is a three-legged stand used to support a camera and keep it steady.,A tripod is a type of camera.
1317,What is a memory card?,"A memory card is a small, removable device that stores digital files, like photos.",A memory card is a type of camera.
1318,What is exposure?,Exposure is the amount of light that hits the camera sensor or film while taking a photo.,Exposure is the amount of time it takes to take a photo.
1319,What is ISO?,ISO is a measure of the camera's sensitivity to light.,ISO is a type of camera.
1320,What is composition?,Composition is the arrangement of visual elements in a photograph.,Composition is the type of camera used to take the photo.
1321,What is a close-up?,"A close-up is a photograph taken from very close to the subject, showing fine details.",A close-up is a photograph taken from far away.
1322,What is a silhouette?,A silhouette is a shadowy outline of a subject that appears against a bright background.,A silhouette is a photograph of a subject facing towards the camera.
1323,What is framing?,Framing is the technique of using objects in the foreground to frame the subject of a photograph.,Framing is the technique of putting a frame around a photograph.
1324,What is a double exposure?,A double exposure is a technique in which two or more images are exposed onto the same piece of film or camera sensor.,A double exposure is a type of camera.
1325,What is a filter?,A filter is an add-on that modifies the colors and tones in a photograph.,A filter is a type of camera.
1326,What is a photo editor?,A photo editor is a computer program used to edit and enhance digital photographs.,A photo editor is a type of camera.
1327,What is a panorama?,"A panorama is a wide, all-encompassing view in which you can see a large area of what's in front of you.",A panorama is a type of camera.
1328,What is a selfie stick?,A selfie stick is a pole with a grip at one end and an adjustable bracket at the other end that holds a cellphone or camera and extends the shot a few feet away from the user.,A selfie stick is a type of camera.
1329,What is a green screen?,"A green screen is a backdrop used in video or photographic production that allows for the easy removal of the background during editing, leaving the subject isolated.",A green screen is a type of camera.
1330,What is a watermark?,A watermark is a faint design or lettering on digital photographs that identifies it and makes it more difficult to steal.,A watermark is a type of camera.
1331,What is a megapixel?,A megapixel is a unit of resolution that measures one million pixels in a photograph.,A megapixel is a type of camera.
1332,What is shutter lag?,Shutter lag refers to the time it takes between pressing the shutter button on a camera and when the camera actually takes the photograph.,Shutter lag is the sound a camera makes when taking a photograph.
1333,What is a histogram?,A histogram is a graph that represents the distribution of light and dark tones in a photograph.,A histogram is a type of camera.
1334,What is a building?,A structure with walls and a roof that people use for different purposes.,A vehicle that flies in the sky.
1335,What is a house?,A building where people live.,A type of animal that lives in water.
1336,What is a door?,A movable barrier used to block off an entrance or exit.,A type of food that people eat for breakfast.
1337,What is a window?,An opening in a wall or roof that allows light and air to enter a building.,A type of animal that lives in a forest.
1338,What is a roof?,The top covering of a building that protects it from the weather.,A type of hat that people wear in the winter.
1339,What is a wall?,A vertical structure that encloses or divides an area of space.,A type of candy that people eat.
1340,What is a skyscraper?,A very tall building that has many floors.,A type of vehicle that travels on water.
1341,What is a bridge?,"A structure built to span physical obstacles such as rivers, canals, or roads.",A type of animal that resides in the jungle.
1342,What is a lighthouse?,A tower-like structure that emits light to guide ships at sea.,A type of car that does not require gasoline.
1343,What is a castle?,"A large building where a king or queen lives, surrounded by high walls for protection.",A type of fruit that grows in trees.
1344,What is a temple?,A building used for religious worship.,A type of animal that flies in the air.
1345,What is a pyramid?,"A large triangular structure made of stone, built in ancient Egyptian times as a tomb.",A type of cake that people eat.
1346,What is a statue?,"A sculpture that represents a person, animal, or abstract idea.",A type of bird that swims in the water.
1347,What is a museum?,"A building that houses collections of art, artifacts, and scientific and historical objects.",A type of store that sells clothing.
1348,What is a stadium?,A large outdoor venue used for sports and entertainment events.,A type of restaurant that serves Italian food.
1349,What is a church?,A building used for Christian worship and religious ceremonies.,A type of animal that lives in the desert.
1350,What is a mosque?,A building used for Muslim worship and religious ceremonies.,A type of vegetable that grows on a tree.
1351,What is a synagogue?,A building used for Jewish worship and religious ceremonies.,A type of jewelry that people wear.
1352,What is a factory?,A building where goods are produced or manufactured.,A type of animal that lives in water.
1353,What is a barn?,"A building where animals are kept, especially on a farm.",A type of insect that can sting.
1354,What is a garage?,A building where cars are stored or repaired.,A type of food that is eaten with a spoon.
1355,What is a hut?,"A small, simple, and basic shelter made of local materials.",A type of hat that people wear in the sun.
1356,What is a cabin?,"A small, simple, and cozy house, usually found in rural or rustic areas.",A type of fruit that grows on a vine.
1357,What is an apartment?,A living space in a building with several separate units.,A type of candy that people eat.
1358,What is a mansion?,"A large and luxurious house, often owned by wealthy people.",A type of bird that does not fly.
1359,What is a bungalow?,A small and cozy house with a low-pitched roof and a wide front porch.,A type of vegetable that grows underground.
1360,What is a cottage?,"A small and cute house, often found in rural or coastal areas.",A type of animal that lives in the mountains.
1361,What is a high-rise?,A tall building that has more than 10 floors.,A type of car that is only driven by police officers.
1362,What is an office building?,"A building used for business or professional purposes, such as offices and conference rooms.",A type of toy that children play with.
1363,What is a warehouse?,A building used for the storage and distribution of goods and products.,A type of animal that lives in the forest.
1364,What is a school?,A building where children go to learn and study.,A type of candy that people eat.
1365,What is a library?,"A building where books, magazines, and other reading materials are kept and borrowed.",A type of car that can fly in the air.
1366,What is a hospital?,A building where sick and injured people go to receive medical treatment and care.,A type of fruit that is yellow and shaped like a banana.
1367,What is a fire station?,A building where firefighters work and keep equipment and vehicles for firefighting.,A type of bird that swims in the water.
1368,What is a police station?,A building where police officers work and keep equipment and vehicles for law enforcement.,A type of animal that lives in the ocean.
1369,What is an airport?,"A facility where airplanes take off and land, and passengers and goods are transported.",A type of food that people eat for dinner.
1370,What is a train station?,A building where trains stop to pick up and drop off passengers and cargo.,A type of car that travels on water.
1371,What is a post office?,"A building where letters, packages, and other mail are sent and received.",A type of bird that lives in the North Pole.
1372,What is a tower?,"A tall and narrow building that is often used for communication, observation, or decoration.",A type of drink that people have in the morning.
1373,What is a bridge tower?,"A tall and narrow structure located on a bridge, often used for the support and control of the traffic.",A type of fruit that people make juice with.
1374,What is a bell tower?,"A tall and narrow structure located on a building, often used for the hanging and ringing of bells.",A type of animal that lives in the sky.
1375,What is a water tower?,A large and tall cylindrical structure used for the storage and distribution of water.,A type of food that is blue and shaped like a ball.
1376,What is a windmill?,"A device that converts wind power into energy, often used for grinding grains or pumping water.",A type of insect that can fly.
1377,What is a clock tower?,"A tall and narrow structure located on a building, often used for the installation and display of clocks.",A type of vegetable that is green and shaped like a leaf.
1378,What is medicine used for?,Medicine is used to make people feel better when they are sick.,Medicine is used to make people feel worse when they are healthy.
1379,Why is it important to wash your hands?,It is important to wash your hands to keep germs from spreading and making you sick.,It is important to wash your hands so that you can get dirty again.
1380,How do you stay healthy?,"You can stay healthy by eating nutritious foods, getting enough sleep, and exercising regularly.",You can stay healthy by eating junk food and staying up all night.
1381,What is a doctor?,A doctor is a person who helps people when they are sick or hurt.,A doctor is a person who makes people sicker when they are already hurt.
1382,What is a nurse?,A nurse is a person who helps take care of sick people.,A nurse is a person who feeds the sick people only candy.
1383,What do you do if you feel sick?,"If you feel sick, you should tell an adult and they might take you to see a doctor.","If you feel sick, you should go play outside and eat candy."
1384,What is a shot?,A shot is when a tiny needle is used to put medicine into your body to help you stay healthy and not get sick.,A shot is when someone throws a ball at you really hard and you have to catch it.
1385,What is a Band-Aid?,A Band-Aid is a sticky bandage that helps cover up cuts or scrapes so they can heal faster.,A Band-Aid is a special candy that makes your boo-boos go away.
1386,What is a cold?,"A cold is an illness that makes you sneeze, cough, and have a runny nose.",A cold is a fun party where you get to wear mittens and hats.
1387,What is a flu?,"The flu is an illness that makes you feel very sick, with fever, sore throat, headache, and more.",The flu is a really cool superhero who fights germs.
1388,What is a fever?,A fever is when your body temperature gets higher than normal and makes you feel hot and sick.,A fever is when you have too much fun and play too many games.
1389,What is a virus?,A virus is a tiny germ that can make you sick and spread to other people.,A virus is a special food that makes you feel better when you're sick.
1390,What is bacteria?,Bacteria are tiny living things that can be helpful or harmful to your health.,Bacteria are little bugs that like to play pranks on you.
1391,What is an allergy?,"An allergy is when your body has a reaction to certain things like food, pollen, or animals.",An allergy is when you like everything and everyone.
1392,What should you do if you have an allergy?,"If you have an allergy, you should avoid the thing that makes you allergic and tell an adult if you have a bad reaction.","If you have an allergy, you should eat more of the thing that makes you allergic so you can get used to it."
1393,What can you do to take care of your teeth?,You can brush your teeth twice a day and floss once a day to keep them clean and healthy.,You can eat lots of candy and skip brushing your teeth to make them stronger.
1394,What is a cavity?,A cavity is a hole in your tooth that can be caused by eating too much sugar and not brushing your teeth enough.,A cavity is a little creature that lives in your mouth and eats your food.
1395,What is a dentist?,A dentist is a person who helps take care of your teeth and makes sure they are strong and healthy.,A dentist is a person who takes your teeth out for fun.
1396,What is a hospital?,A hospital is a place where people go when they are very sick or hurt and need extra help from doctors and nurses.,A hospital is a place where people go to play games and have fun.
1397,What is a prescription?,A prescription is when a doctor gives you a special piece of paper that tells the pharmacist what medicine you need to take to feel better.,A prescription is when a doctor gives you a toy to play with when you're sick.
1398,What is physical therapy?,Physical therapy is a kind of treatment that helps you move better and feel better after an injury or illness.,Physical therapy is a kind of exercise where you have to run really fast and jump up and down.
1399,What is a cast?,"A cast is a hard, protective covering that is put on a broken bone to help it heal.",A cast is a fancy dress that you wear to a party.
1400,What is a wheelchair?,A wheelchair is a kind of chair that has wheels and is used to help people who can't walk or have trouble walking get around.,A wheelchair is a kind of toy car that you can ride in instead of walking.
1401,What is a hearing aid?,A hearing aid is a device that helps people hear better when they have trouble hearing.,A hearing aid is a piece of candy that you put in your ear.
1402,What is a stethoscope?,A stethoscope is a special tool that doctors use to listen to your heart and lungs and make sure they are working correctly.,A stethoscope is a toy that you can play music with.
1403,What is an ambulance?,An ambulance is a special vehicle that takes people who are sick or hurt to the hospital quickly and safely.,An ambulance is a toy vehicle that you can play with.
1404,What is an X-ray?,"An X-ray is a special picture that doctors take to see inside your body, like your bones.",An X-ray is a magic wand that makes you feel better when you wave it.
1405,What is a thermometer?,A thermometer is a tool that doctors use to check your body temperature and see if you have a fever or not.,A thermometer is a toy that you can use to measure the size of your toys.
1406,What is a scalpel?,A scalpel is a very sharp tool that doctors use to make tiny cuts to remove tissue or repair injuries.,A scalpel is a piece of candy that hurts your mouth.
1407,What is an epidural?,An epidural is a type of medicine that is given to a woman during childbirth to help her feel less pain.,An epidural is a type of special candy that makes you feel better when you're not even sick.
1408,What is a blood pressure cuff?,A blood pressure cuff is a tool that doctors use to check your blood pressure and make sure it is not too high or too low.,A blood pressure cuff is a toy that you can play with like a slingshot.
1409,What is a defibrillator?,A defibrillator is a tool that doctors use to help someone's heart start beating normally again when it has stopped or is beating too fast.,A defibrillator is a toy that you can use to make your toys dance.
1410,What is a nebulizer?,A nebulizer is a special tool that helps people who have trouble breathing get medicine into their lungs to help them breathe better.,A nebulizer is a toy that makes bubbles when you blow into it.
1411,What is a pulse oximeter?,A pulse oximeter is a tool that doctors use to check the amount of oxygen in your blood by placing a clip on your finger or toe.,A pulse oximeter is a special toy that shows you the color of your clothes.
1412,What is a splint?,A splint is a hard or soft material that is used to protect an injured part of the body and keep it from moving so it can heal.,A splint is a toy that you can use to hit other toys.
1413,What is first aid?,First aid is the help that you give to someone who is hurt or sick before a doctor or other medical professional can help them.,First aid is a game that you can play when you're bored.
1414,What is CPR?,CPR is a life-saving technique that you can use to help someone whose heart has stopped beating by doing chest compressions and breathing for them.,CPR is a game that you can play at the beach.
1415,What is a rash?,"A rash is a kind of irritation or redness on the skin that can be caused by allergies, infections, or other things.",A rash is a kind of game that you play with your friends.
1416,What is a sunburn?,A sunburn is a kind of burn on the skin that is caused by spending too much time in the sun without protection.,A sunburn is a kind of special skin color that you get when you eat a lot of candy.
1417,What is sleep?,"Sleep is the time when you rest your body and your brain, usually at night, so that you can feel refreshed and energized in the morning.",Sleep is a kind of special game that you play when you're tired.
1418,What is a nightmare?,A nightmare is a bad dream that can scare you and make you feel anxious or worried.,A nightmare is a good dream that makes you feel happy all day.
1419,What is lice?,Lice are tiny insects that can live on your head and make you itch and scratch.,Lice are little pets that you keep in your hair for fun.
1420,What is a vaccine?,A vaccine is a special kind of medicine that can help prevent you from getting certain diseases.,A vaccine is a kind of special candy that makes you feel better when you're sick.
1421,What is a cold sore?,A cold sore is a kind of blister on your lip that can be caused by a virus and make it hard to eat or talk.,A cold sore is a kind of special toy that you can use to play music.
1422,What is poison ivy?,Poison ivy is a kind of plant that can make your skin itch and blister if you touch it.,Poison ivy is a kind of special fruit that you can eat to become stronger.
1423,What is asthma?,Asthma is a kind of illness that can make it hard to breathe and cause wheezing or coughing.,Asthma is a kind of game that you can play when you're bored.
1424,What is a nosebleed?,"A nosebleed is when blood comes out of your nose and can be caused by injury, dry air, or other things.",A nosebleed is a kind of special drink that you make from fruit and candy.
1425,What is a strep throat?,Strep throat is a kind of infection that can make your throat hurt and cause other symptoms like fever or headache.,Strep throat is a kind of special candy that you can eat to make your throat feel better.
1426,What is the study of how people think and behave?,Psychology,Biology
1427,What is the name for the different emotions that you might feel?,Feelings,Actions
1428,What part of your body do you use to think?,Brain,Heart
1429,How do you feel when you're happy?,Joyful,Sad
1430,How do you feel when you're scared?,Afraid,Happy
1431,What is a phobia?,A strong fear of something,A favorite thing
1432,What is a feeling you might have when you're upset?,Frustrated,Excited
1433,What is a feeling you might have when you're really excited?,Thrilled,Angry
1434,What is a feeling you might have when you're tired?,Sleepy,Energetic
1435,What is the study of how people act and feel?,Psychology,Physics
1436,What is a feeling you might have when you get a present?,Grateful,Disappointed
1437,What is a feeling you might have when you win a game?,Proud,Embarrassed
1438,What is a feeling you might have when you lose a game?,Sad,Happy
1439,What is a feeling you might have when you see your best friend?,Happy,Angry
1440,What is a feeling you might have when you're curious about something?,Interested,Bored
1441,What is a feeling you might have when you're excited about something that's going to happen soon?,Eager,Calm
1442,What is a feeling you might have when you're angry?,Mad,Happy
1443,"If someone is shy, what does that mean?",They feel nervous around new people,They feel confident around new people
1444,What is a feeling you might have when you're embarrassed?,Ashamed,Relieved
1445,What is empathy?,When you understand and feel what other people are feeling,When you don't care about other people's feelings
1446,What is a stereotype?,"An unfair, generalization about a group of people",A fact
1447,What is a bully?,Someone who is mean to others on purpose,Someone who is kind to others on purpose
1448,What is a friend?,Someone you like to be around and spend time with,Someone you don't like to be around
1449,What is teamwork?,When people work together to get something done,When people work against each other to get something done
1450,What is honest?,Telling the truth,Telling a lie
1451,What is a lie?,When you say something that isn't true,When you say something that is true
1452,What is the golden rule?,Treat others the way you want to be treated,Treat others badly
1453,What is stress?,When you feel worried or overwhelmed,When you feel calm and relaxed
1454,What is courage?,Doing something even though you're scared,Doing something when you're not scared
1455,What is a compliment?,Saying something nice to someone else,Saying something mean to someone else
1456,What is a goal?,Something you want to achieve,Something you don't want to achieve
1457,What is a mistake?,Something you did wrong or didn't mean to do,Something you did right or meant to do
1458,What is bravery?,Doing what is right even when it's hard or scary,Doing what is wrong even when it's hard or scary
1459,What is fairness?,Treating everyone equally and giving everyone a fair chance,Treating everyone differently and not giving everyone a fair chance
1460,What is kindness?,Doing nice things for other people,Doing mean things to other people
1461,What is compassion?,Feeling sorry for someone else and wanting to help them,Feeling happy about someone else's problems
1462,What is respect?,"Treating other people kindly and politely, and valuing their opinions",Treating other people rudely and not caring about their opinions
1463,What is responsibility?,Doing what you're supposed to do and taking care of things that are important,Doing whatever you want and not taking care of important things
1464,What is determination?,Not giving up even when things are hard or take a long time,Giving up easily when things are hard or take a long time
1465,What is patience?,Waiting calmly for something without getting upset,Getting upset when you have to wait for something
1466,What is self-control?,Being able to choose your actions and reactions wisely,Not being able to control your own actions and reactions
1467,What is self-esteem?,Feeling good about yourself and your abilities,Feeling bad about yourself and your abilities
1468,What is an emotion?,A feeling or mood that you experience,Something that you eat
1469,What is body language?,The way your body communicates your thoughts and feelings,The way you speak to others
1470,What is social skills?,The ability to have good relationships and communicate well with others,The ability to stay silent and ignore others.
1471,What is forgiveness?,Letting go of anger and blame and choosing to move on,Holding onto anger and blame and choosing not to move on.
1472,What is philosophy?,"Philosophy is the study of the nature of existence, knowledge, and values.",Philosophy is the study of the sky.
1473,What are some famous philosophers?,"Aristotle, Socrates, Plato, Confucius.","Mickey Mouse, Spider-Man, Batman."
1474,Why do we study philosophy?,We study philosophy to understand the world around us and to think critically about important questions.,We study philosophy to learn how to make sandwiches.
